6332 0.0145781
0.266695 0.511584 0.408244
0.29796 0.516547 0.408478
0.305089 0.505277 0.403878
0.316692 0.515271 0.409902
0.344696 0.514031 0.406308
0.361621 0.502287 0.408743
0.373985 0.508925 0.411754
0.385183 0.515017 0.414928
0.412827 0.502819 0.402317
0.576871 0.504927 0.413043
0.596307 0.504187 0.408849
0.604878 0.511893 0.410065
0.619485 0.503529 0.412913
0.64561 0.512757 0.408601
0.65412 0.513658 0.408855
0.67082 0.515527 0.415069
0.698688 0.514542 0.407226
0.706824 0.51261 0.41252
0.719089 0.507634 0.413172
0.747067 0.510366 0.412294
0.761216 0.501728 0.408794
0.776395 0.515312 0.412258
0.795355 0.514002 0.407013
0.807507 0.513297 0.415156
0.182407 0.523171 0.407701
0.1957 0.520766 0.400783
0.202896 0.525973 0.400257
0.224153 0.518164 0.407372
0.242483 0.532489 0.41372
0.258229 0.528299 0.413916
0.281762 0.52518 0.413704
0.289227 0.528718 0.414112
0.303587 0.519487 0.414787
0.319379 0.522258 0.409718
0.344459 0.518336 0.41431
0.352049 0.529991 0.407104
0.372453 0.520261 0.402372
0.387886 0.51711 0.403382
0.414454 0.527582 0.416571
0.584044 0.520418 0.408981
0.605943 0.518101 0.405521
0.626436 0.517972 0.404699
0.637058 0.526087 0.416399
0.651959 0.52624 0.416272
0.67549 0.526641 0.408589
0.689998 0.523862 0.400648
0.700293 0.524115 0.412762
0.723623 0.523059 0.40927
0.742927 0.520117 0.414441
0.759552 0.525339 0.415646
0.773362 0.517921 0.402644
0.79696 0.518739 0.412584
0.804518 0.530683 0.416142
0.199811 0.541714 0.402952
0.215715 0.549326 0.409592
0.233189 0.534261 0.400965
0.247849 0.535547 0.413348
0.257451 0.540142 0.410449
0.273102 0.54992 0.406184
0.286641 0.537918 0.403861
0.314056 0.535347 0.40123
0.32778 0.534558 0.403739
0.338805 0.539076 0.40993
0.366165 0.544125 0.416627
0.377552 0.544193 0.410856
0.395515 0.537248 0.405284
0.403732 0.547698 0.40802
0.614047 0.544562 0.401815
0.626971 0.536581 0.401419
0.646804 0.534284 0.406653
0.664236 0.539183 0.412603
0.672641 0.548664 0.413247
0.691436 0.54262 0.411808
0.708445 0.535357 0.402914
0.724774 0.544527 0.407761
0.737107 0.545506 0.401725
0.758216 0.537398 0.416443
0.775262 0.542164 0.40786
0.798846 0.540238 0.412249
0.80873 0.540676 0.404046
0.188424 0.553898 0.412386
0.211296 0.566604 0.412952
0.217402 0.560897 0.404232
0.248926 0.562099 0.407269
0.265398 0.555613 0.412951
0.274855 0.563634 0.412249
0.285968 0.558051 0.409214
0.306496 0.563302 0.413489
0.330778 0.552167 0.406473
0.338627 0.555159 0.415977
0.357634 0.56073 0.404381
0.377438 0.565813 0.406585
0.390914 0.55286 0.415557
0.609636 0.561142 0.416388
0.622637 0.554269 0.409428
0.641641 0.550228 0.40047
0.659878 0.555811 0.401756
0.67282 0.550872 0.408854
0.686062 0.55582 0.412078
0.700766 0.566084 0.406939
0.725351 0.563903 0.411336
0.740669 0.560874 0.409511
0.765095 0.556883 0.40245
0.774856 0.554376 0.407988
0.795531 0.559294 0.403862
0.202777 0.567618 0.409322
0.224591 0.57637 0.411063
0.246453 0.574221 0.415876
0.26151 0.575047 0.401232
0.274262 0.567734 0.401379
0.287374 0.572013 0.410478
0.305389 0.580928 0.408862
0.317533 0.576247 0.411408
0.33888 0.567752 0.411655
0.355401 0.570077 0.404225
0.382187 0.57279 0.401083
0.384602 0.581881 0.416666
0.612559 0.572225 0.405323
0.616723 0.571715 0.409305
0.637065 0.569569 0.401736
0.666351 0.581886 0.407019
0.669829 0.574035 0.404449
0.699696 0.577245 0.405775
0.708018 0.566964 0.408232
0.72691 0.575722 0.413949
0.744786 0.58285 0.413143
0.763902 0.57265 0.406616
0.783195 0.580701 0.406047
0.798153 0.568691 0.414661
0.224478 0.596035 0.415869
0.239278 0.592083 0.402204
0.255823 0.591737 0.415997
0.274022 0.587209 0.40318
0.29608 0.584037 0.412488
0.309053 0.592503 0.406772
0.324579 0.586616 0.404491
0.343118 0.586352 0.407408
0.352188 0.583677 0.402355
0.619336 0.588023 0.410068
0.641548 0.59148 0.407969
0.661042 0.595231 0.405498
0.676344 0.596158 0.408788
0.687838 0.599945 0.410093
0.700986 0.599558 0.403683
0.731402 0.588144 0.409021
0.74461 0.588414 0.403524
0.755515 0.592214 0.400995
0.253066 0.613406 0.412541
0.278634 0.610037 0.407094
0.293969 0.606697 0.406867
0.305516 0.600196 0.408121
0.31856 0.611536 0.416354
0.333558 0.612117 0.41548
0.66245 0.604777 0.411648
0.671948 0.603165 0.400307
0.689007 0.604382 0.409999
0.709957 0.601358 0.401067
0.731716 0.607388 0.405733
0.743518 0.603148 0.409354
0.259935 0.617534 0.416
0.329272 0.619023 0.415533
0.693849 0.617531 0.416361
0.265781 0.381595 0.432778
0.268445 0.378047 0.432465
0.305065 0.369632 0.422894
0.327765 0.376399 0.426087
0.34085 0.379598 0.424217
0.66544 0.377901 0.429631
0.710884 0.366802 0.428781
0.732397 0.381615 0.429651
0.22489 0.387442 0.433173
0.249402 0.394058 0.424966
0.255821 0.3962 0.41688
0.268305 0.387402 0.419127
0.283832 0.396362 0.422755
0.314885 0.393296 0.421348
0.327577 0.390824 0.429324
0.343596 0.38581 0.429694
0.361979 0.394645 0.42885
0.643997 0.394062 0.428803
0.650184 0.387091 0.427788
0.680563 0.389915 0.418703
0.696549 0.38581 0.422978
0.714414 0.396958 0.425725
0.723492 0.395101 0.421989
0.736215 0.390831 0.417543
0.763671 0.389591 0.419362
0.772746 0.388367 0.429365
0.213099 0.406736 0.420106
0.226515 0.40018 0.426545
0.249726 0.409421 0.43275
0.250265 0.412838 0.424776
0.267014 0.405723 0.431311
0.298513 0.404874 0.432666
0.309975 0.400781 0.420235
0.31743 0.409005 0.426509
0.334622 0.41135 0.420492
0.35972 0.407495 0.419435
0.382947 0.414582 0.431598
0.393647 0.412712 0.425782
0.402773 0.415244 0.430379
0.598814 0.413688 0.43168
0.63312 0.410422 0.433185
0.633966 0.407963 0.427614
0.656843 0.406441 0.430136
0.683141 0.400798 0.425183
0.688611 0.410621 0.418839
0.701999 0.416242 0.432498
0.72175 0.40851 0.43289
0.733589 0.416487 0.422816
0.757939 0.403903 0.419431
0.780733 0.407181 0.427188
0.794985 0.412232 0.431838
0.210635 0.428164 0.426203
0.221432 0.433117 0.419709
0.243757 0.429353 0.431089
0.257556 0.430434 0.420942
0.271318 0.418513 0.429688
0.289844 0.427069 0.431809
0.316282 0.425194 0.421631
0.330564 0.416799 0.425653
0.344575 0.429942 0.431773
0.355946 0.422701 0.432802
0.380166 0.43103 0.422447
0.393182 0.420311 0.429826
0.409035 0.43295 0.421426
0.590932 0.432058 0.425046
0.607237 0.42281 0.429935
0.630967 0.431809 0.422222
0.641435 0.423332 0.420459
0.661214 0.427636 0.421864
0.682314 0.427548 0.431691
0.689636 0.419278 0.422445
0.712008 0.424662 0.428631
0.728576 0.429254 0.41763
0.740279 0.425174 0.432986
0.760517 0.419395 0.43038
0.7766 0.41698 0.42366
0.796567 0.424506 0.427976
0.199923 0.448403 0.429206
0.211783 0.436397 0.424717
0.220396 0.439656 0.420875
0.245639 0.436201 0.42585
0.253085 0.44203 0.420785
0.275908 0.441159 0.425342
0.286642 0.447064 0.417936
0.302105 0.445263 0.417366
0.3211 0.449803 0.420664
0.340354 0.435798 0.427893
0.353625 0.435045 0.424753
0.376638 0.440613 0.423506
0.391194 0.449687 0.420781
0.416587 0.446532 0.430417
